"COUNTRY
(SHORT NAME)","COUNTRY
CODE","CURRENCY
CODE",NAME OF CURRENCY
AFGHANISTAN,AFG,AFA,Afghani
ALBANIA,ALB,ALL,Lek
ALGERIA,DZA,DZD,Dinar
AMERICAN SAMOA,ASM,USD,Dollar / Peseta
ANDORRA,AND,FAF,Franc / Peseta
ANGOLA,AGO,AON,New Kwanza
ANGUILLA,AIA,XCD,East Caribb. Dollar
ANTARCTICA,ATA,-,-
ANTIGUA AND BARBUDA,ATG,XCD,East Caribb. Dollar
ARGENTINA,ARG,ARS,Peso
ARMENIA,ARM,AMD,Dram
ARUBA,ABW,AWG,Florin
AUSTRALIA,AUS,AUD,Australia Dollar
AUSTRIA,AUT,ATS,Schilling
AZERBAIJAN,AZE,AZM,Manet
BAHAMAS,BHS,BSD,Bahamas Dollar
BAHRAIN,BHR,BHD,Dinar
BANGLADESH,BGD,BDT,Taka
BARBADOS,BRB,BBD,Dollar
BELARUS,BLR,BYB,Belarussian Rouble
BELGIUM,BEL,BEF,Franc
BELIZE,BLZ,BZD,Dollar
BENIN,BEN,XOF,C.F.A. Franc
BERMUDA,BMU,BMD,Dollar
BHUTAN,BTN,INR,Ngultrum / Ind. Rupee
BOLIVIA,BOL,BOB,Boliviano
BOSNIA AND HERZEGOWINA,BIH,-,-
BOTSWANA,BWA,BWP,Pula
BOUVET ISLAND,BVT,NOK,Norwegian Krone
BRAZIL,BRA,BRL,Real
BRIT. INDIAN OCEAN TERRITORY,IOT,USD,Dollar
BRUNEI DARUSSALAM,BRN,BND,Dollar
BULGARIA,BGR,BGL,Lev
BURKINA FASO,BFA,XOF,C.F.A. Franc
BURUNDI,BDI,BIF,Franc
CAMBODIA,KHM,KHR,Riel
CAMEROON,CMR,XAF,C.F.A. Franc
CANADA,CAN,CAD,Dollar
CAPE VERDE,CPV,CVE,Escudo
CAYMAN ISLANDS,CYM,CYD,Dollar
CENTRAL AFRICAN REPUBLIC,CAF,XAF,C.F.A. Franc
CHAD,TCD,XAF,C.F.A. Franc
CHILE,CHL,CLP,Peso
CHINA,CHN,CNY,Renminbi Yuan
CHRISTMAS ISLAND,CXR,AUD,Australia Dollar
COCOS (KEELING) ISLANDS,CCK,AUD,Australia Dollar
COLOMBIA,COL,COP,Peso
COMOROS,COM,KMF,Franc
CONGO,COG,XAF,C.F.A. Franc
COOK ISLANDS,COK,NZD,N.Z. Dollar
COSTA RICA,CRI,CRC,Colon
COTE D'IVOIRE,CIV,XOF,C.F.A. Franc
CROATIA,HRV,HRK,Kuna
CUBA,CUB,CUP,Peso
CYPRUS,CYP,CYP,Pound
CZECH REPUBLIC,CZE,CZK,Koruna
DENMARK,DNK,DKK,Danish Krone
DJIBOUTI,DJI,DJF,Djibouti Franc
DOMINICA,DMA,XCD,East Caribb. Dollar
DOMINICAN REPUBLIC,DOM,DOP,Peso
EAST TIMOR,TMP,TPE,Timor Escudo/Indon. Rupiah
ECUADOR,ECU,ECS,Sucre
EGYPT,EGY,EGP,Pound
EL SALVADOR,SLV,SVC,Colon
EQUATORIAL GUINEA,GNQ,XAF,C.F.A. Franc
ERITREA,ERI,-,-
ESTONIA,EST,EEK,Kroon
ETHIOPIA,ETH,ETB,Birr
FALKLAND ISLANDS (MALVINAS),FLK,FKP,Pound
FAEROE ISLANDS,FRO,DKK,Danish Krone
FIJI,FJI,FJD,Dollar
FINLAND,FIN,FIM,Markka
FRANCE,FRA,FRF,Franc
FRENCH GUIANA,GUF,FRF,Franc
FRENCH POLYNESIA,PYF,XPF,C.F.P. Franc
FRENCH SOUTHERN TERRITOR.,ATF,FRF,Franc
GABON,GAB,XAF,C.F.A. Franc
GAMBIA,GMB,GMD,Dalasi
GEORGIA,GEO,GEL,Lari (1)
GERMANY,DEU,DEM,Mark
GHANA,GHA,GHC,Cedi
GIBRALTAR,GIB,GIP,Pound
GREECE,GRC,GRD,Drachma
GREENLAND,GRL,DKK,Danish Krone
GRENADA,GRD,XCD,East Caribb. Dollar
GUADELOUPE,GLP,FRF,Franc
GUAM,GUM,USD,Dollar
GUATEMALA,GTM,GTQ,Quetzal
GUINEA,GIN,GNF,Franc
GUINEA-BISSAU,GNB,GWP,Peso
GUYANA,GUY,GYD,Guyana Dollar
HAITI,HTI,HTG,Gourde / Dollar
HEARD AND MC DONALD ISLANDS,HMD,AUD,Australia Dollar
HONDURAS,HND,HNL,Lempira
HONG KONG,HKG,HKD,Hong Kong Dollar
HUNGARY,HUN,HUF,Forint
ICELAND,ISL,ISK,Krona
INDIA,IND,INR,Rupee
INDONESIA,IDN,IDR,Rupiah
IRAN,IRN,IRR,Rial
IRAQ,IRQ,IQD,Dinar
IRELAND,IRL,IRP,Punt
